Item code,Item Category,Item Name,Measurement Unit,Price
1,Service,"Operation and maintenance of the HVAC at Tiger's Den-
-Central Air Conditioning System for Tiger' Den,
-Complete Servicing
-Operating and monitoring of AHU-17 Sets, Chilled Water Pump-04 Sets, Fans, Related Panel Boards, BMS System, auto control system
--24/7 Operational team shall have available as a minimum 1 Engineer( five years experienced in BMS, chillers O&M)-  8:00 AM to 8:00 PM, 1 Technician (five years experienced in BMS, chillers O&M) – 8:00  AM to 9:00  PM, 1 Technician (five years experienced in BMS, chillers O&M) – 9:00  PM to 8:00 AM
-Record operational data and share report.",Month,"150,000.00"
2,Piping Works ,"Pipe dia : 300mm, Sch-40",RFT,"2,450.00"
3,Piping Works ,"Pipe dia : 200mm, Sch-40",RFT,"2,200.00"
4,Piping Works ,"Pipe dia : 150mm, Sch-40",RFT,"2,000.00"
5,Piping Works ,"Pipe dia : 100mm, Sch-40",RFT,"1,850.00"
6,Piping Works ,"Pipe dia : 80mm, Sch-40",RFT,"1,400.00"
7,Piping Works ,"Pipe dia : 65mm, Sch-40",RFT,"1,200.00"
8,Piping Works ,"Pipe dia : 50mm, Sch-40",RFT,"1,400.00"
9,Piping Works ,"Pipe dia : 40mm, Sch-40",RFT,"1,280.00"
10,Piping Works ,"Pipe dia : 32mm, Sch-40",RFT,"1,080.00"
11,Piping Works ,"Pipe dia : 25mm, Sch-40",RFT,960.00
12,Piping Works ,"Pipe dia : 20mm, Sch-40",RFT,800.00
13,Bare Pipe,MS Pipe dia : 150mm,RFT,"1,550.00"
14,Bare Pipe,MS Pipe dia : 100mm,RFT,"1,150.00"
15,Bare Pipe,MS Pipe dia : 80mm,RFT,990.00
16,Bare Pipe,MS Pipe dia : 65mm,RFT,470.00
17,Bare Pipe,MS Pipe dia : 50mm,RFT,410.00
18,Bare Pipe,MS Pipe dia : 40mm,RFT,315.00
19,Bare Pipe,MS Pipe dia : 32mm,RFT,365.00
20,Bare Pipe,Ms Pipe dia : 25mm,RFT,195.00
21,Bare Pipe,Ms Pipe dia : 20mm,RFT,130.00
22,Chemicals,Isocynate,Ltr,550.00
23,Chemicals,Polyol,Ltr,800.00
24,Condenser Water Pipe,Pipe dia : 500mm,RFT,"2,900.00"
25,Condenser Water Pipe,Pipe dia : 300mm,RFT,"2,300.00"
26,Condenser Water Pipe,Pipe dia : 250mm,RFT,"1,900.00"
27,Condenser Water Pipe,Pipe dia : 200mm,RFT,"1,700.00"
28,Condensate Drain Pipe,Pipe dia : 32mm,RFT,70.00
29,Condensate Drain Pipe,Pipe dia : 25mm,RFT,65.00
30,Condensate Drain Pipe,Pipe dia : 20mm,RFT,39.00
31,Ball Valve (UL Listed),50mm dia,Nos,"1,470.00"
32,Ball Valve (UL Listed),32mm dia,Nos,"1,100.00"
33,Ball Valve (UL Listed),25mm dia,Nos,950.00
34,Ball Valve (UL Listed),20mm dia,Nos,575.00
35,Gate Valve (BL Listed),300mm dia,Nos,"24,000.00"
36,Gate Valve (BL Listed),150mm dia,Nos,"22,500.00"
37,Gate Valve (BL Listed),100mm dia,Nos,"14,000.00"
38,Gate Valve (BL Listed),50mm dia,Nos,"1,480.00"
39,Gate Valve (BL Listed),40mm dia,Nos,"1,000.00"
40,Gate Valve (BL Listed),25mm dia,Nos,475.00
41,Gate Valve (BL Listed),20mm dia,Nos,410.00
42,Gate Valve (BL Listed),15mm dia,Nos,245.00
43,Globe Valve(UL Listed),15mm dia,Nos,420.00
44,Check Valve silent type (UL Listed),80mm dia,Nos,"25,500.00"
45,Balancing Valve (PRV) [UL Listed),150mm dia,Nos,"36,500.00"
46,Balancing Valve (PRV) [UL Listed),100mm dia,Nos,"31,500.00"
47,Balancing Valve (PRV) [UL Listed),80mm dia,Nos,"23,000.00"
48,Balancing Valve (PRV) [UL Listed),65mm dia,Nos,"19,000.00"
49,Balancing Valve (PRV) [UL Listed),50mm dia,Nos,"16,800.00"
50,Balancing Valve (PRV) [UL Listed),40mm dia,Nos,"12,800.00"
51,Balancing Valve (PRV) [UL Listed),32mm dia,Nos,"9,650.00"
52,Balancing Valve (PRV) [UL Listed),25mm dia,Nos,"6,000.00"
53,Balancing Valve (PRV) [UL Listed),20mm dia,Nos,"4,500.00"
54,Butterfly Valve (UL Listed),300mm dia,nos ,"90,400.00"
55,Butterfly Valve (UL Listed),250mm dia,,"51,355.14"
56,Butterfly Valve (UL Listed),200mm dia,Nos,"46,883.20"
57,Butterfly Valve (UL Listed),150mm dia,Nos,"29,000.00"
58,Butterfly Valve (UL Listed),100mm dia,Nos,"21,000.00"
59,Butterfly Valve (UL Listed),80mm dia,Nos,"16,800.00"
60,Butterfly Valve (UL Listed),65mm dia,Nos,"12,000.00"
61,Automatic Air Vent (UL Listed),20mm dia,Nos,"8,850.00"
62,Float Valve (UL Listed),20mm dia,Nos,"2,480.00"
63,Motorized Butterfly Valve ,150mm dia,Nos,"75,000.00"
64,Flexible Pipe Connector,100mm dia,Nos,"60,000.00"
65,Flexible Pipe Connector,300mm dia,Nos,"58,800.00"
66,Flexible Pipe Connector,250mm dia,Nos,"53,200.00"
67,Flexible Pipe Connector,200mm dia,Nos,"44,800.00"
68,Flexible Pipe Connector,150mm dia,Nos,"35,000.00"
69,Flexible Pipe Connector,100mm dia,Nos,"18,100.00"
70,Flexible Pipe Connector,80mm dia,Nos,"11,300.00"
71,Flexible Pipe Connector,65mm dia,Nos,"9,600.00"
72,Water Treatment System,Chemicals,Can (25 Ltr),"28,000.00"
73,Galvanized Plain Sheet,26 BWG,SFT,220.00
74,Galvanized Plain Sheet,24 BWG,SFT,260.00
75,Galvanized Plain Sheet,22 BWG,SFT,290.00
76,Galvanized Plain Sheet,20 BWG,SFT,302.00
77,Galvanized Plain Sheet,18 BWG,SFT,330.00
78,Stainless Steel Jacketing,"Size : 4' x 8', 0.50mm thick",SFT,368.00
79,Round Flexible Duct,"12"" dia",RFT,775.00
80,Round Flexible Duct,"10"" dia",RFT,730.00
81,Round Flexible Duct,"8"" dia",RFT,690.00
82,Round Flexible Duct,"6"" dia",RFT,630.00
83,Round Flexible Duct,"5"" dia",RFT,600.00
84,Round Flexible Duct,"4"" dia",RFT,595.00
85,Fiberglass Insulation,"25mm thick, 24 kg/m3",SFT,150.00
86,Fiberglass Insulation,"50mm thick, 24 kg/m3",SFT,138.00
87,Duct Internal Lining Materials,"Semi rigid board size 25mm thick x 1.22m x 2.4m, 48kg/m3",SFT,140.00
88,Air Terminals,Supply Air Diffuser c/w VCD,Sq. In,24.00
89,Air Terminals,Return Air Diffuser w/o VCD,Sq. In,24.00
90,Air Terminals,Jet Diffuser c/w OBD,Sq. In,24.00
91,Air Terminals,Circular Diffuser c/w OBD,Sq. In,24.00
92,Air Terminals,Supply Air Register c/w OBD,Sq. In,20.00
93,Air Terminals,Return Air Register w/o OBD,Sq. In,20.00
94,Air Terminals,Exhaust Air Register w/o OBD,Sq. In,20.00
95,Air Terminals,Fresh Air Register w/o OBD,Sq. In,20.00
96,Air Terminals,Exhaust Air Grille,Sq. In,20.00
97,Air Terminals,Fresh Air Grille,Sq. In,20.00
98,Air Terminals,Return Air Grille,Sq. In,20.00
99,Air Terminals,Fresh Air Louver,Sq. In,20.00
100,Air Terminals,Supply Linear Slot Diffuser,Sq. In,21.00
101,Air Terminals,Return Linear Slot Diffuser w/o plen. Box,Sq. In,22.00
102,Air Terminals,Transfer Air Grille,Sq. In,20.00
103,Air Terminals,Acoustic Louver ,Sq. In,21.00
104,Air Terminals,Exhaust Air Louver,Sq. In,20.00
105,Dampers,Relief Damper,Sq. In,24.00
106,Dampers,Volume Controll Damper (manual),Sq. In,24.00
107,Dampers,Volume Control Damper (Motorized),Sq. In,24.00
108,Dampers,Gravity Damper ,Sq. In,24.00
109,Dampers,Fire Damper,Sq. In,24.00
110,Variable Air Volume Box,Splitter Damper,Nos,500.00
111,Pipe Insulation Sheet,300mm thick,rft,425.00
112,Pipe Insulation Sheet,250mm thick,rft,392.00
113,Pipe Insulation Sheet,200mm thick,rft,350.00
114,Pipe Insulation Sheet,150mm thick,rft,329.00
115,Pipe Insulation Sheet,100mm thick,rft,322.00
116,Pipe Insulation Sheet,80mm thick,rft,308.00
117,Pipe Insulation Sheet,50mm thick,rft,294.00
118,Pipe Insulation Sheet,20mm thick,rft,225.00
119,Pipe Insulation Sheet,25mm thick,rft,222.00
120,Pipe Insulation Sheet,40mm thick,rft,260.00
121,Others Service items,V-belt ,Nos,"1,000.00"
122,Others Service items,Motor bearing,Nos,"1,050.00"
123,Others Service items,Blower bearing,Nos,"1,000.00"
124,Others Service items,Motor,Nos,"24,000.00"
125,Others Service items,Blower,Nos,"8,000.00"
126,Others Service items,FA Filter,Nos,"3,700.00"
127,Others Service items,RA Filter,Nos,"3,550.00"
128,Others Service items,Pre Filter,Nos,"3,550.00"
129,Others Service items,"Exhuast Motor, 0.5 kW",Nos,"24,000.00"
130,Others Service items,Exhaust Motor bearing,Nos,660.00
131,Others Service items,Exhuast Fan blade,Nos,"10,000.00"
132,Service,Re-winding exhaust fan(0.5 kW),Nos,"10,000.00"
133,Others Service items,Magnetic contractor (32A),Nos,"3,700.00"
134,Others Service items,Over load Relay (2A-24A),Nos,"4,000.00"
135,Others Service items,Timer (10-60),Nos,800.00
136,Others Service items,Auxilary,Nos,550.00
137,Others Service items,Fuse box (32A),Nos,500.00
138,Others Service items,Selector switch (16a/60volt),Nos,950.00
139,Others Service items,CT-3x300/5A/100-1000/5A/1200/5A,Nos,"2,300.00"
140,Others Service items,Ammeter-0-300A,Nos,950.00
141,Others Service items,Volt meter (0-600),Nos,"2,850.00"
142,Others Service items,Fuse-5A,Nos,30.00
143,Others Service items,Pilot Lamp,Nos,38.00
144,Others Service items,Push switch (6a/250volt),Nos,90.00
145,Others Service items,Anti gudder,Nos,112.00
146,Others Service items,Panel ventilation fan,Nos,850.00
147,Others Service items,"CERAMIC WOOL-1""",  sft,430.00
148,Others Service items,"CERAMIC WOOL-2""",  sft,440.00
149,Others Service items,"ROCK WOOL-1""",  sft,250.00
150,Others Service items,"ROCK WOOL-2""",  nos,500.00
151,Others Service items,SPRING ISOLATOR FOR DUCT HANGING,  nos,"2,200.00"
152,Others Service items,SPRING ISOLATOR FOR FCU/AHU,   nos,"2,200.00"
153,Others Service items,SPRING ISOLATOR FOR AHU,  nos,"2,200.00"
154,Others Service items,SPRING ISOLATOR FOR PUMP BASE,  nos,"36,000.00"
155,Others Service items,SPRING ISOLATOR FOR EXHAUST HANGING,  nos,"10,000.00"
156,Others Service items,SERVICE CHARGE FOR TROUBLE SHOOTING (AHU UNIT),job,"4,000.00"
157,Others Service items,SUPPLY & INSTALLATION PROGRAMME CONTROLLER FOR INDOOR UNIT,job,"6,500.00"
158,Chilled Water System,"Chilled Water Pump, 18.5kW, Model-63HZZ-6310ZZ, 380-415V, 50Hz,",Set,"1,150,000.00"
159,Chilled Water System,Spring Vibration Isolators for Chilled water pump,nos ,"34,500.00"
160,Chilled Water System,Chilled water pump Bearing,Nos,"5,500.00"
161,Chilled Water System,Chilled water Motor Bearing ,Nos,"5,500.00"
162,Chilled Water System,Magnetic contract for Chilled water pump,Nos,"17,000.00"
163,Chilled Water System,Re-winding of Chilled water pump motor,Nos,"48,000.00"
164,Chilled Water System,Re-winding of condenser fan motor,Nos,"34,000.00"
165,Chilled Water System,Child water pump Cuplink,Pcs,"9,500.00"
166,"AHU, Acson (DAIKIN)","Bag Filter F7 590x590x22mm, 6pocket,L-530mm. filter Efficiency:  F7.",Nos,"9,000.00"
167,"AHU, Acson (DAIKIN)","Bag FilterF7 590x290x20mm,3pocketL-530mm. filter Efficiency:  F7.",Nos,"4,450.00"
167,AHU Filters,Pre-Filter  590 x590 x 45 mm ,Nos,"6,100.00"
168,AHU Filters,Pre-Filter  590 x290 x 45 mm ,Nos,"5,020.00"
169,AHU spare parts,AHU Motor Puli,Nos,"17,800.00"
170,AHU spare parts,AHU Blower Puli,Nos,"20,000.00"
171,AHU spare parts,AHU Motor Bearing ,Nos,"6,700.00"
172,AHU spare parts,AHU Blower Bearing ,Nos,"7,000.00"
173,AHU spare parts,AHU V Belt-(A62) ,Nos,"2,300.00"
174,AHU spare parts,AHU V Belt-(A44) ,Nos,"2,300.00"
175,AHU spare parts,AHU V Belt-(A46) ,Nos,"2,350.00"
176,AHU spare parts,AHU V Belt-(A48) ,Nos,"2,340.00"
177,AHU spare parts,AHU V Belt-(A52) ,Nos,"2,300.00"
178,AHU spare parts,AHU V Belt-(A54) ,Nos,"2,350.00"
179,AHU spare parts,AHU V Belt-(A51) ,Nos,"2,360.00"
180,AHU spare parts,AHU V Belt-(A42) ,Nos,"2,200.00"
181,AHU spare parts,AHU V Belt-(M26) ,Nos,"1,200.00"
182,AHU spare parts,AHU VFD 2.5KW,nos ,"93,766.40"
183,AHU spare parts,AHU VFD 5.5KW,nos ,"115,404.80"
184,AHU spare parts,AHU VFD 7.5KW,nos ,"137,043.20"
185,AHU spare parts,AHU VFD 11KW,nos ,"173,107.20"
186,AHU spare parts,AHU VFD 18KW,nos ,"252,448.00"
187,AHU spare parts,AHU VFD 32KW,nos ,"346,214.40"
188,AHU spare parts,AHU VFD 45KW,nos ,"461,619.20"
189,AHU spare parts," Blower (Fan) for Air Handling Unit. (AHU), Brand : Nicotra, Origin : Italy, Manufacturing : China, Model: FAN ADH 560R
AHU#1-17]",Set,"490,000.00"
190,AHU spare parts," Blower (Fan) for Air Handling Unit. (AHU), Brand : Nicotra, Origin : Italy, Manufacturing : China, Model: FAN ADH 560R
AHU#1-17]",Set,"490,000.00"
191,AHU spare parts," Blower (Fan) for Air Handling Unit. (AHU), Brand : Nicotra, Origin : Italy, Manufacturing : China, Model : ADY(ADH) 630 R",Set,"560,000.00"
192,AHU spare parts," Blower (Fan) for Air Handling Unit. (AHU), Brand : Nicotra, Origin : Italy, Manufacturing : China, Model:Model : ADY(ADH) 560 R",Set,"490,000.00"
193,AHU spare parts," Blower (Fan) for Air Handling Unit. (AHU), Brand : Nicotra, Origin : Italy, Manufacturing : China, Model: Model : ADY(ADH) 500 R",Set,"448,000.00"
194,AHU spare parts," Blower (Fan) for Air Handling Unit. (AHU), Brand : Nicotra, Origin : Italy, Manufacturing : China, Model:Model : ADY(ADH) 450 R",Set,"420,000.00"
195,AHU spare parts," Blower (Fan) for Air Handling Unit. (AHU), Brand : Nicotra, Origin : Italy, Manufacturing : China, Model:Model : Model : ADY(ADH) 315 R",Set,"280,000.00"
196,AHU spare parts,"Motor for Air Handling Unit. (AHU), Brand : ABB, Origin : Italy, Manufacturing : China, Efficiency Rating : IE2, Pole-4, 2.2kW, 380-415 V/3 Ph/50 Hz, Frame-Y2-100L1-4, Class-F, IP-55
[AHU#3(L7)]",Set,"126,000.00"
197,AHU spare parts,"Motor for Air Handling Unit. (AHU), Brand : ABB, Origin : Italy, Manufacturing : China, Efficiency Rating : IE2, Pole-4, 5.5kW, 380-415 V/3 Ph/50 Hz, Frame-Y2-132S-4, Class-F, IP-55
[AHU#2(GF)]",Set,"346,214.40"
198,AHU spare parts,"Motor for Air Handling Unit. (AHU), Brand : ABB, Origin : Italy, Manufacturing : China, Efficiency Rating : IE2, Pole-4, 7.5kW, Frame- Y2-132M-4,380-415 V/3 Ph/50 Hz,  Class-F, IP-55
[AHU#1&2(L1), AHU#1&2(L3), AHU#1&2(L4), AHU#1&2(L6), AHU#2(L7)]",Set,"363,525.12"
199,AHU spare parts,"Motor for Air Handling Unit. (AHU), Brand : ABB, Origin : Italy, Manufacturing : China, Efficiency Rating : IE2, No. of Pole: 4, 11kW, 380-415 V/3 Ph/50 Hz, Frame-Y2-160M-4, Class-F, IP-55, Frame-Y2-160M-4,
[AHU#1(GF), AHU-1(L2), AHU-1&2(L5)]",Set,"363,525.12"
200,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Aluminium Frame,rft,"1,500.26"
201,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],GI Base Frame,rft,"3,188.06"
202,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],PU Panel,sft,"4,688.32"
203,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Filter Holding Frame (Sliding),rft,468.83
204,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],SS Drain Pan,nos,"46,883.20"
205,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Cooling Coil Baffle Plate,nos,"22,503.94"
206,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Fan Skid,nos,"225,039.36"
207,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Vibration Isolator for Fans,nos,"22,503.94"
208,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Flexible Connection,nos,"9,376.64"
209,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Screw & Bolts,lot,"9,376.64"
210,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Thermal Break Profile,rft,562.60
211,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 1/2"" Diaa",Nos,399.00
212,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 1"" Dia",Nos,590.00
213,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 1.5"" Dia",Nos,790.00
214,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 2"" Dia",Nos,920.00
215,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 2.5"" Dia",Nos,990.50
216,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 3"" Dia",Nos,"1,130.50"
217,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 4"" Dia",Nos,"2,660.00"
218,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 5"" Dia",Nos,"2,668.74"
219,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 6"" Dia",Nos,"3,950.00"
220,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 8"" Dia",Nos,"5,150.00"
221,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 10"" Dia",Nos,"6,300.00"
222,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Elbo 12"" Dia",Nos,"7,500.00"
223,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 1/2"" Dia",Nos,"1,064.00"
224,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 1"" Dia",Nos,"2,100.00"
225,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 1.5"" Dia",Nos,"2,650.00"
226,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 2"" Dia",Nos,"3,500.00"
227,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 2.5"" Dia",Nos,"3,950.00"
228,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 3"" Dia",Nos,"4,600.00"
229,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 4"" Dia",Nos,"5,320.00"
230,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 5"" Dia",Nos,0.00
231,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 6"" Dia",Nos,"9,200.00"
232,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 8"" Dia",Nos,"11,900.00"
233,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS T Joint 10"" Dia",Nos,"13,000.00"
234,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7], Welding rod,Pack,750.00
235,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],End Plate,Nos,700.00
236,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],Dad Plug,Nos,266.00
237,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 1"" Dia",Nos,525.00
238,Cabinet and Metal Parts to make a complete AHU # 1-17[ Ground- Level-7],"MS Flange 1.5"" Dia",Nos,598.50
